source,target
"a total of ## dogs , among them ## puppies , died after a swarm of angry bees attacked people and animals at the society for the prevention of cruelty to animals -lrb- <unk> -rrb- in newcastle , about ### km south of johannesburg , according to a report on sunday .",bees kill ## dogs in attack in south africa
"in massachusetts , which has had a government-run health insurance marketplace for four years , people typically file paper applications for subsidized coverage offered by one of five state-approved insurers .",health care overhaul depends on states insurance exchanges
striker robin van persie scored in the ##th minute to earn the netherlands a #-# lead over cameroon at half time of their group e world cup match here on thursday .,netherlands lead cameroon #-# at halftime
"russia risks losing a lucrative contract to build two <unk> ships for china because of infighting among two russian factories , one of the project 's chiefs said thursday .",chinese defense contract on the rocks over russian factory infighting
the dollar soared to a fresh ## month high against the euro on thursday despite news that eu members had reached a long-sought deal to rescue greece from its budget woes .,dollar hits fresh highs against euro
"german retail giant metro has inked a deal with the dalian municipal government to open a store in the northeastern chinese city , state press reported wednesday .",germany 's metro pumps ## million dollars into new <unk> in china
gambia invited diplomats to view the destruction of over one tonne of cannabis and a kilogram of cocaine friday to show its commitment to its fight against drug trafficking .,gambia invites diplomats to witness drug destruction
liverpool manager rafa benitez believes his feud with the club 's american owners could be galvanizing his players into producing results on the pitch .,rafa benitez looks to positives from feud with american owners over transfer funds
"a roman catholic priest was found shot to death in his car in the rough border city of tijuana on monday with his hands cuffed and six gunshot wounds to his body , in what police said appeared to be an organized-crime killing .",priest found cuffed shot to death in rough mexican border city
"south africa police found the bodies of two more women late monday , bringing to ## the number of victims of a suspected serial killer discovered in the past two days .",police find ## bodies suspect serial killer
federal wildlife officials scrambled wednesday to prevent the spread of a fatal virus that killed one endangered mexican gray wolf pup last week and might have killed two more pups on monday .,mexican wolf pup dies of <unk> ; others feared afflicted
"sierra leone on monday counted votes from watershed presidential and legislative elections that international observers declared free and fair , despite allegations of vote-rigging from some parties .",votes counted in sierra leone elections
"lithuania 's state property fund said monday it has concluded negotiations with germany 's <unk> bank on privatisation of a ##-percent stake in state-owned zemes ukio bankas , the baltic country 's third-largest bank .",germany 's <unk> bank ends talks for lithuania 's <unk> <unk> bankas
the u.s. said on monday that the sinking of a south korean warship blamed on the democratic people 's republic of korea -lrb- dprk -rrb- is not an act of international terrorism and therefore wo n't put it back on the u.s. state sponsors of terrorism list .,u.s. says sinking of s. korean ship not act of terrorism
israeli foreign minister ehud barak left tel aviv sunday for a three - day official visit to the united states .,israeli fm heads for united states
"u.s. president george w. bush visited one of his most <unk> european supporters , but the old friendship did n't yield all either leader wanted from the other , on afghanistan for bush or on iran for italian premier silvio berlusconi .",bush says us and europe have revitalized relationship
mikel nieve of spain won the ##th stage of the spanish vuelta on monday and joaquin rodriguez regained the overall lead .,<unk> wins vuelta stage ; rodriguez reclaims lead
